matchId,date,league,label,predictionId,featureSource,snapshotBacked,predictedOutcome,leakageRisk,trainingWeight,trainingGroup,snapshotMaturity,home_avg_scored,away_avg_scored,home_avg_conceded,away_avg_conceded,home_home_split_scored,home_home_split_conceded,away_away_split_scored,away_away_split_conceded,ppg_diff,rest_diff,club_elo_diff,home_injuries,away_injuries,availability_coverage,availability_risk,availability_diff,weather_risk,lineups_confirmed,h2h_sample_size,h2h_reliability,h2h_balance,match_importance,home_btts_rate,away_btts_rate,home_over25_home,away_over25_away,home_yellow_rate,away_yellow_rate,home_cards_rate,away_cards_rate,home_avg_corners,away_avg_corners,set_piece_diff,lineups_avg_rating_diff,home_lineup_continuity,away_lineup_continuity,keeper_rating_diff,away_travel_penalty,prob_home_base,prob_draw_base,prob_away_base,prob_home_heuristic,prob_draw_heuristic,prob_away_heuristic,confidence,exact_score_confidence,model_agreement,top_confidence_pick,top_exact_score_pick,risk_low,risk_medium,risk_high,phase_league,phase_cup,phase_knockout,odds_available,source_timestamp_coverage,db_has_match_stats,db_has_team_match_stats,db_historical_odds_samples,db_historical_home_implied,db_historical_draw_implied,db_historical_away_implied,db_home_xg,db_away_xg,db_home_shots,db_away_shots,db_home_corners,db_away_corners,db_weather_available,db_weather_temperature,db_weather_wind_speed,db_weather_precipitation,db_h2h_edge_played,db_h2h_edge_balance,db_style_profile_available,db_alias_matched,db_feature_source_count
ss-tsdb-England - Premier League-2267407,2026-04-25,"England - Premier League",D,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3497,0.2877,0.3625,0.2565,0.443,0.3005,0.639,0.1369,0.586,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-tsdb-Netherlands - Eredivisie-2268424,2026-04-25,"Netherlands - Eredivisie",D,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4547,0.2763,0.2691,0.3773,0.415,0.2077,0.638,0.131,0.63,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-D1-2026-04-26-dortmund-freiburg,2026-04-26,"Germany - Bundesliga",H,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4332,0.2823,0.2846,0.4282,0.4112,0.1606,0.555,0.1343,0.656,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-D1-2026-04-26-stuttgart-werder bremen,2026-04-26,"Germany - Bundesliga",D,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3718,0.2872,0.3409,0.7803,0.1979,0.0218,0.601,0.1366,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-D2-2026-04-26-bochum-greuther furth,2026-04-26,"Germany - Bundesliga",H,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3843,0.2867,0.329,0.7653,0.2088,0.026,0.582,0.1364,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-D2-2026-04-26-nurnberg-magdeburg,2026-04-26,"Germany - Bundesliga",H,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3846,0.2867,0.3287,0.0544,0.2934,0.6521,0.562,0.1364,0.12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-D2-2026-04-26-paderborn-schalke 04,2026-04-26,"Germany - Bundesliga",A,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3858,0.2866,0.3276,0.7104,0.2466,0.0431,0.562,0.1363,0.134,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-E1-2026-04-26-coventry-wrexham,2026-04-26,"England - Championship",H,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4322,0.2825,0.2853,0.4023,0.4125,0.1852,0.575,0.1344,0.653,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-F1-2026-04-26-le havre-metz,2026-04-26,"France - Ligue 1",D,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4164,0.2842,0.2994,0.3094,0.4198,0.2709,0.608,0.1352,0.639,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-F1-2026-04-26-lorient-strasbourg,2026-04-26,"France - Ligue 1",A,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3823,0.287,0.3307,0.2539,0.4357,0.3104,0.631,0.1366,0.604,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-F1-2026-04-26-marseille-nice,2026-04-26,"France - Ligue 1",D,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4544,0.2793,0.2663,0.3623,0.4302,0.2075,0.6,0.1329,0.598,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-F1-2026-04-26-paris fc-lille,2026-04-26,"France - Ligue 1",A,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3345,0.2877,0.3778,0.2034,0.4345,0.3621,0.614,0.1369,0.609,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-F1-2026-04-26-rennes-nantes,2026-04-26,"France - Ligue 1",H,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4732,0.2743,0.2525,0.4506,0.392,0.1574,0.571,0.1302,0.686,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-N1-2026-04-26-excelsior-utrecht,2026-04-26,"Netherlands - Eredivisie",H,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0.2793,0.4247,0.2854,0.4058,0.3089,0.596,0.1322,0.663,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-N1-2026-04-26-heracles-volendam,2026-04-26,"Netherlands - Eredivisie",A,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3937,0.2829,0.3234,0.2428,0.4604,0.2968,0.622,0.1341,0.527,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-tsdb-England - Championship-2275722,2026-04-26,"England - Championship",H,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3749,0.2871,0.338,0.0444,0.2497,0.706,0.626,0.1366,0.019,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-E0-2026-04-27-man united-brentford,2026-04-27,"England - Premier League",H,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4006,0.2857,0.3137,0.3461,0.4512,0.2027,0.561,0.1359,0.559,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-F2-2026-04-27-boulogne-dunkerque,2026-04-27,"France - Ligue 2",A,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3661,0.284,0.3499,0.1948,0.4121,0.3932,0.626,0.1346,0.543,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-fd-E1-2026-04-28-southampton-ipswich,2026-04-28,"England - Championship",D,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379,0.287,0.3341,0.2641,0.4624,0.2735,0.613,0.1365,0.532,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-tsdb-England - Championship-2275667,2026-04-28,"England - Championship",D,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3823,0.2868,0.3309,0.7373,0.2326,0.0301,0.607,0.1364,0.053,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ss-tsdb-Netherlands - Eredivisie-2468344,2026-04-28,"Netherlands - Eredivisie",D,,review_prediction_fallback,0,D,possible_post_match_overwrite,0.25,fallback_review,mature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3915,0.283,0.3256,0.266,0.468,0.266,0.652,0.1341,0.507,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
